,Code,Location,city,state_or_country
200,LIM  ,"Limestone, ME",Limestone, ME
201,LKC  ,"Lake Charles, LA",Lake Charles, LA
202,LLB  ,"Laredo Juarez-Lincoln Bridge 2, TX",Laredo Juarez-Lincoln Bridge 2, TX
203,LNB  ,"Long Beach, CA",Long Beach, CA
204,LOI  ,Los Indios,Los Indios,
205,LON ,"Longview, WA",Longview, WA
206,LOR  ,"Lorain, OH",Lorain, OH
207,LOS  ,"Los Angeles, CA",Los Angeles, CA
208,LOU ,"Louisville, KY",Louisville, KY
209,LSE  ,"Los Ebanos, TX",Los Ebanos, TX
210,LUB  ,"Lubec, ME",Lubec, ME
211,LUK  ,"Lukeville, AZ",Lukeville, AZ
212,LVG  ,"Las Vegas, NV",Las Vegas, NV
213,LWT ,"Laredo, World Trade Bridge",Laredo, World Trade Bridge
214,LYN  ,"Lynden, WA",Lynden, WA
215,M     ,"Algoma, WI",Algoma, WI
216,MAA ,Abu Dhabi INTL,Abu Dhabi INTL,
217,MAD ,"Madawaska, ME",Madawaska, ME
218,MAG ,"McGuire AFB, NJ",McGuire AFB, NJ
219,MAI  ,"Maida, ND",Maida, ND
220,MAP ,"Mariposa, AZ",Mariposa, AZ
221,MAS ,"Massena, NY",Massena, NY
222,MAY ,"Mayaguez, PR",Mayaguez, PR
223,MCI  ,"McAllen, TX",McAllen, TX
224,MEM ,"Memphis, TN",Memphis, TN
225,MET ,"Metaline Falls, WA",Metaline Falls, WA
226,MGC ,"Morgan City, LA",Morgan City, LA
227,MGM,"Morgan, MT",Morgan, MT
228,MIA  ,"Miami, FL",Miami, FL
229,MIL  ,"Milwaukee, WI",Milwaukee, WI
230,MND ,"Minot, ND (Int'l Airport)",Minot, ND (Int'l Airport)
231,MNW,"Manitowoc, WI",Manitowoc, WI
232,MOB ,"Mobile, AL",Mobile, AL
233,MON ,"Montreal, Quebec",Montreal, Quebec
234,MOO,"Mooers, NY",Mooers, NY
235,MOR ,"Morses Line, VT",Morses Line, VT
236,MRC ,"Marine City, MI",Marine City, MI
237,MRH ,"Morehead City, NC",Morehead City, NC
238,MRR ,"Morristown, NY",Morristown, NY
239,MRY ,"Marysville, MI",Marysville, MI
240,MSP ,Minneapolis/St. Paul (Int'l Airport),Minneapolis/St. Paul (Int'l Airport),
241,MTH ,"Marathon ARPT, FL",Marathon ARPT, FL
242,MYR ,"Myrtle Beach, SC",Myrtle Beach, SC
243,NAC ,"Naco, AZ",Naco, AZ
244,NAS ,"Nassau, Bahamas",Nassau, Bahamas
245,NEA  ,"Neah Bay, WA",Neah Bay, WA
246,NEC  ,"Neche, ND",Neche, ND
247,NEW ,"Newark, NJ",Newark, NJ
248,NIA  ,"Niagara Falls, NY",Niagara Falls, NY
249,NIG  ,"Nighthawk, WA",Nighthawk, WA
250,NIK  ,"Nikiski, AK",Nikiski, AK
251,NOG ,"Nogales, AZ",Nogales, AZ
252,NOL ,"New Orleans, LA",New Orleans, LA
253,NOM ,"Nome, AK",Nome, AK
254,NOO ,"Noonan, ND",Noonan, ND
255,NOR ,"Norfolk, VA",Norfolk, VA
256,NOY ,"Noyes, MN",Noyes, MN
257,NPV  ,"Newport, VT",Newport, VT
258,NPW,"Northport, WA",Northport, WA
259,NRG ,"Northgate, ND",Northgate, ND
260,NRN ,"Norton, VT",Norton, VT
261,NRT  ,"North Troy, VT",North Troy, VT
262,NSV ,"Nashville, TN",Nashville, TN
263,NWH,"New Haven, CT",New Haven, CT
264,NWL ,"New London, CT",New London, CT
265,NWN,"Newport News, VA",Newport News, VA
266,NYC  ,"New York, NY",New York, NY
267,OAK ,"Oakland, CA",Oakland, CA
268,OGD ,"Ogdensburg, NY",Ogdensburg, NY
269,OKC ,"Oklahoma City, OK",Oklahoma City, OK
270,OLY  ,"Olympia, WA",Olympia, WA
271,OMA ,"Omaha, NE",Omaha, NE
272,OPH ,"Opheim, MT",Opheim, MT
273,ORL  ,"Orlando, FL",Orlando, FL
274,ORO ,"Oroville, WA",Oroville, WA
275,OSW,"Oswego, NY",Oswego, NY
276,OTM ,"Otay Mesa POE, CA",Otay Mesa POE, CA
277,OTT  ,"Ottawa, Canada",Ottawa, Canada
278,PAN  ,"Panama City, FL",Panama City, FL
279,PAR  ,"Port Arthur, TX",Port Arthur, TX
280,PAS  ,"Pascagoula, MS",Pascagoula, MS
281,PAX  ,"Patuxent River, MD",Patuxent River, MD
282,PBB  ,"Peace Bridge, NY",Peace Bridge, NY
283,PCF  ,"Port Canaveral, FL",Port Canaveral, FL
284,PDN ,"Paso del Norte, El Paso, TX",Paso del Norte," El Paso, TX"
285,PEM ,"Pembina, ND",Pembina, ND
286,PEN  ,"Pensacola, FL",Pensacola, FL
287,PER  ,"Perth Amboy, NJ",Perth Amboy, NJ
288,PEV  ,"Port Everglades, FL",Port Everglades, FL
289,PGR  ,"Progreso, TX",Progreso, TX
290,PHI  ,"Philadelphia, PA",Philadelphia, PA
